CourseNo,CourseTitle,TermsOffered,Credits,Instructor,Description
CSC255,Software Analysis & Improv,2,4.0,Sreepathi Pai,"Programming is the automation of information processing. Program analysis and transformation is the automation of programming itself---how much a program can understand and improve other programs. Because of the diversity and complexity of computer hardware, programmers increasingly depend on automation in compilers and other tools to deliver efficient and reliable software. This course combines fundamental principles and (hands-on) practical applications. Specific topics include data flow and dependence theories; static and dynamic program transformation including parallelization; memory and cache management; type checking and program verification; and performance analysis and modeling. The knowledge and practice will help students to become experts in software performance and correctness. Students taking the graduate level will have additional course requirements and a more difficult project. Prerequisites: <span>CSC 254; CSC 252 recommended</span>"
CSC256,Operating Systems,1,4.0,John Criswell,"Principles of operating system design, explored within the practical context of traditional, embedded, distributed, and real-time operating systems. Topics include device management, process management, scheduling, synchronization principles, memory management and virtual memory, file management and remote files, protection and security, fault tolerance, networks, and distributed computing. CSC 456, a graduate-level course, requires additional readings and assignments. Prerequisites: <span>CSC 252 or ECE 200.</span>"
CSC257,Computer Networks,1,4.0,Adam Purtee,"Introduction to computer networks and computer communication: Architecture and Protocols:. Design of protocols for error recovery, reliable delivery, routing and congestion control. Store-and-forward networks, satellite networks, local area networks and locally distributed systems. Case studies of networks, protocols and protocol families. Emphasis on software design issues in computer communication. Prerequisites: CSC 252"
CSC258,Parallel & Distributed Systems,2,4.0,Sandhya Dwarkadas,"Principles of parallel and distributed systems, and the associated implementation and performance issues. Topics covered will include programming interfaces to parallel and distributed computing, interprocess communication, synchronization, and consistency models, fault tolerance and reliability, distributed process management, distributed file systems, multiprocessor architectures, parallel program optimization, and parallelizing compilers. Students taking this course at the 400 level will be required to complete additional readings and/or assignments. Prerequisites: <span>CSC 252 and (CSC 254 or CSC 256) or instructor permission</span>"
CSC261,Database Systems,7,4.0,Eustrat Zhupa,"This course presents the fundamental concepts of database design and use. It provides a study of data models, data description languages, and query facilities including relational algebra and SQL, data normalization, transactions and their properties, physical data organization and indexing, security issues and object databases. It also looks at the new trends in databases. The knowledge of the above topics will be applied in the design and implementation of a database application using a target database management system as part of a semester-long group project. Prerequisites: CSC 172; CSC 173 and CSC 252 recommended."
CSC262,Computational Introduction to Statistics,5,4.0,Joseph Ciminelli,"This course will cover foundational concepts in descriptive analyses, probability, and statistical inference. </p><p>Topics to be covered include data exploration through descriptive statistics (with a heavy emphasis on using R for such analyses), elementary probability, diagnostic testing, combinatorics, random variables,  elementary distribution theory, statistical inference, and statistical modeling. The inference portion of the course will focus on building and applying hypothesis tests and confidence intervals for population means, proportions, variances, and correlations. Non-parametric alternatives will also be introduced. The modeling portion of the course will include ANOVA, and simple and multiple regression and their respective computational methods. Students will be introduced to the R statistical computing environment. </p><p></p><p>PREREQUISITES: MTH 150 or MTH 150A; AND MTH 142 or MTH 161 or MTH 171</p><p>WAITLIST: If registration is full, submit your info to our Fall 2020 waitlist at: <a href=""https://forms.gle/yc8u4rs5raBoeW2V7"" target=""_blank"">https://forms.gle/yc8u4rs5raBoeW2V7</a>"
CSC263,Data Management Systems,2,4.0,Fatemeh Nargesian,<span>This course explores the internals of data engines. Topics covered will include the relational model; relational database design principles based on dependencies and normal forms; query execution; transactions; recovery; query optimization; parallel query processing; NoSQL. </span> Prerequisites:<span>CSC 173 and CSC 252 (or CSC 261)</span>
CSC264,Computer Audition,1,4.0,Andrea Cogliati,This course is cross-listed with ECE477. Please refer to ECE 477 for the course description.
CSC265,Intermed Statistical Methods,2,4.0,Yusuf Bilgic,"This course is a continuation of DSCC/CSC 262, covering intermediate statistical methodology and related computational methods, with an emphasis on the R statistical computing environment.</p><p>PREREQUSITE: DSCC 262/CSC 262 (preferred). STT 212 or STT 213 also permitted."
CSC273W,Writing for Computer Science,7,2.0,Joseph Loporcaro,"In this course, students prepare, critique, and discuss written materials relevant to Computer Science. Will count as one of the two upper level writing requirements for Computer Science majors. If the course is closed, DO NOT email the professor."
CSC278,Computer Security Foundations,2,4.0,John Criswell,"This course will teach students the foundations of computer security. Students will learn what security is, the design principles of secure systems, how security is enforced, and how security is compromised. Topics include access controls, information flow, basic applications of cryptography, buffer overflow attacks, and malware. Prerequisites: CSC 252"
CSC280,Computer Models & Limitations,7,4.0,Lane Hemaspaandra,"<span> This course studies fundamental computer models and their computational limitations. Finite-state machines and pumping lemmas, the context-free languages, Turing machines, decidable and Turing-recognizable languages, undecidability, NP-completeness. </span>Prerequisites include CSC 173 and MATH 150.</p><p></p><p><span>YOU MUST REGISTER FOR A RECITATION WHEN REGISTERING FOR THE MAIN COURSE</span></p><p></p><p>"
CSC281,Introduction to Cryptography,2,4.0,Muthuramakrishnan Venkitasubramaniam,"The modern study of cryptography investigates techniques for facilitating interactions between distrustful entities. In this course we introduce some of the fundamental concepts of this study. Emphasis will be placed on the foundations of cryptography and in particular on precise definitions and proof techniques.<span>(MTH 150 or MTH 162), AND (CSC 171 or prior programming experience)</span>"
CSC282,Design & Analysis Efficient Algorithms,3,4.0,Eustrat Zhupa,"<div>How does one design programs and ascertain their efficiency? Greedy</div><div>algorithms, dynamic programming, divide-and-conquer techniques, string</div><div>processing, graph algorithms, mathematical algorithms. Introduction to</div><div>NP-completeness and linear programming. Students taking this course at</div><div>the 400 level may be required to complete additional tests, readings</div><div>or assignments.<span>Prerequisites: (CSC 172 and MATH 150) or MATH172.</span></div>"
CSC286,Computational Complexity,2,4.0,Lane Hemaspaandra,"The difference between computable and uncomputable problems andbetween feasible and infeasible problems. Regarding the latter, what properties of a problem make it computationally simple? What properties of a problem may preclude its having efficient algorithms? How computationally hard are problems? Complete sets and low information content; P&#61;NP?; unambiguous computation and one-way functions; reductions relating the complexity of problems; complexity classes and hierarchies. Prerequisite: <span>CSC 280</span>"
CSC287,Sampling Algorithms,1,4.0,Daniel Stefankovic,"<div>The course will focus on algorithmic sampling from probability</div><div>distributions using Markov chains, perfect sampling methods (coupling from the past, Lovasz Local Lemma), determinantal techinques (spanning trees, matchings in planar graphs), and using correlation decay. For MCMC we will study methods to bound convergence speed (coupling, canonical paths, conductance, log-concavity) and show how they apply to classical problems (colorings, permanent, volume, matroids). Background material on probability theory will be covered.</div>"
CSC291,Machines & Consciousness,2,4.0,Lenhart Schubert,"<span>Can machines show self-awareness? Could robots and other machines have subjective sensory and emotional experiences? Could they have a moral sense? These questions are becoming increasingly relevant in our age of increasingly intelligent machines. We will explore these issues through readings from the AI literature as well as from philosophy and cognitive science. Homework will include written answers to questions, essays, 2 Lisp exercises and -- for 291 students only -- a team programming project intended to demonstrate the possibility of some degree of self-awareness in a computer. The course is optionally available for writing credit.  Prerequisites: CSC 173 and one or more of 240, 242, 280 , or 282.</span>"
CSC292,Mobile Vision Computing,1,4.0,Yuhao Zhu,"<div><p>Addressing the world&#39;s more pressing issues such as environmental sustainability and cultural heritage preservation increasingly relies on diverse visual applications running on emerging platforms such as Augmented/Virtual Reality headsets, autonomous machines, and smart sensor nodes. In real-time and using low power, visual computing systems must generate visual data forhuman to consume, immersively, or interpret visual data to provide personalized services, intelligently.</p></div><div><p>In this class, we will first study fundamental building blocks for visual computing such as real-time computer vision, computer graphics, deep learning, image sensing, and optics. We will then explore application domains that build on top of these fundamental building blocks such as AR/VR, computational photography/imaging, robotics, and self-driving cars.The course will necessarily span many important layers of a computer system, including application development, programming language and framework, compiler, OS, and hardware architecture.</p></div><div><div><p>This class will combine instructor-led lectures, student-led in-class presentations, paper reading/critiquing, and the fun &#34;wild and crazy&#34; paper writing.</p></div><div><p></p></div></div>"
CSC295,Quantum Computing Seminar,2,4.0,Thaddeus Pawlicki,<span>This course covers special topics that are of current interest in the area of Quantum Computing. Topics vary by term.</span>
CSC299,Social Implications of Computing,7,4.0,Joseph Loporcaro,"<div><div><div><div><div><div><div><div><div>Computers and the Internet, perhaps more than any other technology, have transformed society over the past 50 years.  In developed nations, at least, they have enabled dramatic increases in human productivity; an explosion of options for news, entertainment, and communication; and fundamental breakthroughs in almost every branch of science and engineering.  At the same time, they have contributed to unprecedented threats to privacy; whole new categories of crime and anti-social behavior; major disruptions in the job market; and the large-scale concentration of risk into systems capable of catastrophic failure.  In this discussion- and writing-oriented class, we will consider all of this and more, with the goal of better understanding how to shape technological change in ways that maximize the benefits and minimize the costs. </div></div></div></div></div></div></div></div></div>"
CSC299W,W Social Implications of Computing,2,4.0,Joseph Loporcaro,"<span>Computers and the Internet, perhaps more than any other technology, have transformed society over the past 50 years. In developed nations, at least, they have enabled dramatic increases in human productivity; an explosion of options for news, entertainment, and communication; and fundamental breakthroughs in almost every branch of science and engineering. At the same time, they have contributed to unprecedented threats to privacy; whole new categories of crime and anti-social behavior; major disruptions in the job market; and the large-scale concentration of risk into systems capable of catastrophic failure. In this discussion- and writing-oriented class, we will consider all of this and more, with the goal of better understanding how to shape technological change in ways that maximize the benefits and minimize the costs. This course will be asynchronous. CSC299 can be taken as a ULW or not.</span>"
CSC386V,Undergrad Visiting Student,3,Lecture,Chenliang Xu,Blank Description
CSC390,Supervised Teaching: CSC 200H TA,3,2.0,Chen Ding,Blank Description
CSC390A,Supervised Teaching CSC 214,3,2.0,Eustrat Zhupa,Blank Description
CSC391,Independent Study,3,4.0,,"<span>Registration for Independent Study courses needs to be completed thru the </span><a href=""http://www.rochester.edu/registrar/assets/pdf/IndependentStudyRegistrationInstructions.pdf"" target=""_blank"">instructions for online independent study registration</a><span>.</span>"
CSC391H,Independent Study-Honors,3,4.0,,"<span>Registration for Independent Study courses needs to be completed thru the </span><a href=""http://www.rochester.edu/registrar/assets/pdf/IndependentStudyRegistrationInstructions.pdf"" target=""_blank"">instructions for online independent study registration</a><span>.</span>"
CSC391W,Independent Study,3,4.0,,"<span>Registration for Independent Study courses needs to be completed thru the </span><a href=""http://www.rochester.edu/registrar/assets/pdf/IndependentStudyRegistrationInstructions.pdf"" target=""_blank"">instructions for online independent study registration</a><span>.</span>"
CSC392,Practicum,3,Lecture,,"<span>Registration for Independent Study courses needs to be completed thru the </span><a href=""http://www.rochester.edu/registrar/assets/pdf/IndependentStudyRegistrationInstructions.pdf"" target=""_blank"">instructions for online independent study registration</a><span>.</span>"
CSC393,Senior Project,3,4.0,Jiebo Luo,Blank Description
CSC394,Internship,3,4.0,,"<span>Registration for Independent Study courses needs to be completed thru the </span><a href=""http://www.rochester.edu/registrar/assets/pdf/IndependentStudyRegistrationInstructions.pdf"" target=""_blank"">instructions for online independent study registration</a><span>.</span>"
CSC395,Independent Research,3,4.0,,"<span>Registration for Independent Study courses needs to be completed thru the </span><a href=""http://www.rochester.edu/registrar/assets/pdf/IndependentStudyRegistrationInstructions.pdf"" target=""_blank"">instructions for online independent study registration</a><span>.</span>"
CSC395H,Independent Research-Honors,2,Lecture,,"<span>Registration for Independent Study courses needs to be completed thru the </span><a href=""http://www.rochester.edu/registrar/assets/pdf/IndependentStudyRegistrationInstructions.pdf"" target=""_blank"">instructions for online independent study registration</a><span>.</span>"
CSC395W,Independent Research,3,4.0,,"<span>Registration for Independent Study courses needs to be completed thru the </span><a href=""http://www.rochester.edu/registrar/assets/pdf/IndependentStudyRegistrationInstructions.pdf"" target=""_blank"">instructions for online independent study registration</a><span>.</span>"
CSC400,Problem Seminar,2,2.0,Michael Scott,"An introduction to the technical, social, economic, and political aspects of graduate education in computer science at Rochester. Class meetings consist primarily of group discussions and presentations that focus on a broad range of topics, and are intended to improve the critical analysis, technical writing, presentation, and problem-solving skills of students. Both class discussions and written assignments are drawn from material presented in other first-year graduate courses offered within the department. The course also offers a forum for individual department faculty members to discuss their research interests and recent results. Satisfactory performance is required of all first-year graduate students."
CSC404,Multiprocessor Arch,2,4.0,Michael Huang,"This course provides in-depth discussions of the design and implementation issues of multiprocessor system architecture. Topics include cache coherence, memory consistency, interconnect, their interplay and impact on the design of high-performance micro-architectures. prerequisite</p><p>ECE 200 or CSC 252 or permission of instructor"
CSC412,Human Computer Interaction,2,4.0,Ehsan Hoque,"This course will explore the design, implementation, and evaluation of user interfaces. Students will study the theoretical methods for interface design and evaluation, including requirements gathering, usability heuristics, user interface inspections, usability studies, information visualization, and prototyping. Case studies of interface successes and failures will augment theory with practical experiences. Students will apply this methodology to assignments in the design, implementation, and evaluation cycle. Students taking this course at the graduate level will have additional readings and assignments."
CSC413,Introduction to Augmented and Virtual Reality,1,4.0,Mujdat Cetin,"This course provides a broad introduction to augmented and virtual reality (AR/VR) systems. The course involves lectures covering an overview of all aspects of the AR/VR domain, as well as individual work performed by each student aimed at providing more intensive training on various aspects of AR/VR. Topics covered in the lectures include history, conceptual origins, and design/evaluation principles of AR/VR technologies; overview of visual/auditory/haptic AR/VR interfaces and applications; visual perception; optics/platforms/sensors/displays; auditory perception and spatial audio; silicon hardware architecture and materials; graphics and computation; interfaces and user experience design; data processing and machine intelligence for AR/VR; introduction to AR/VR programming tools; societal implications and ethical aspects. At the end of the course, students will have gained familiarity with the techniques, languages, and cultures of fields integral to the convergent research theme of AR/VR. <i>This course is co-instructed by Mujdat<span> </span><span>Cetin</span>, Michele Rucci, Ross Maddox, Jannick Rolland,  Yuhao Zhu, Andrew White, Chenliang Xu, and Zhen Bai.</i>"
CSC414,Selected Topics in Augmented and Virtual Reality,2,4.0,Mujdat Cetin,"This is the second course offered as part of the PhD training program on augmented and virtual reality. It builds on the first course, Introduction to Augmented and Virtual Reality (AR/VR). The goal of the course is to provide exposure to problems in the AR/VR domain addressed by various disciplines. The course consists of three one-month long modules in a semester. Modules engage students in particular aspects of AR/VR or hands-on experience on AR/VR. Modules to be offered in various years include: fundamentals of optics for AR/VR; AR/VR in the silicon; foundations of visual perception in the context of AR/VR; computer audition and acoustic rendering; measuring the human brain; deep learning and visual recognition for AR/VR; brain-computer interfacing in a virtual environment; 3D interfaces and interaction; AR/VR for collaborative education &amp; professional training.<span> </span></p><p>In Spring 2021, the following three modules will be offered:</p><p>1)<span> </span>AR/VR in the silicon (Prof. Yuhao Zhu). This module will first take a look at how AR and VR are evolving and some applications and use cases. Then, we will provide a review of some of the key technology challenges in silicon, a.k.a., processor chips, that need to be overcome before widespread deployment of AR and VR and the breakthroughs in silicon that are required to enable this future. We will then discuss some recent advances proposed to meet the silicon performance/power targets.</p><p>2)<span> </span>Brain-computer interfacing in a virtual environment (Prof. Mujdat Cetin). Brain-computer interface (BCI) systems aim to establish direct interaction channels between the brain and external devices. In this module, we will explore recent and ongoing efforts to couple noninvasive EEG-based BCIs with AR/VR systems. The module will cover topics including (1) brain activity as a control signal in AR/VR systems, (2) cognitive state monitoring and affective BCIs in virtual environments, (3) analyzing neural activity to guide AR/VR system design.<span> </span></p><p>3)<span> </span>Professional encounters with leading AR/VR researchers. This module will involve a series of seminars and discussion sessions with leading AR/VR researchers from academia and industry.</p><p>prerequisites:</p><p>ECE 410 or OPT 410 or BME 410 or NSCI 415 or CSC 413 or CVSC 534</p><p>"
CSC440,Data Mining,3,4.0,Thaddeus Pawlicki,"Fundamental concepts and techniques of data mining, including data attributes, data visualization, data pre-processing, mining frequent patterns, association and correlation, classification methods, and cluster analysis. Advanced topics include outlier detection, stream mining, and social media data mining. CSC 440, a graduate-level course, requires additional readings and a course project."
CSC442,Artificial Intelligence,1,4.0,Adam Purtee,"Introduces fundamental principles and key applications of artificial intelligence, including heuristic search, automated reasoning, machine learning, neural networks and machine perception. Programming project include building autonomous software agenst in a virtual world. This course is a prerequisite for advanced AI courses"
CSC443,Computational Neuro - Recitation,2,Recitation,Ralf Haefner,This is a rotating topics course that includes the study of both the computations performed by the brain and of computational models of neuronal responses. Primary focus will be on the visual system. This course is taught at an introductory level in odd numbered years and an advanced level in even numbered years. Programming experience is required.
CSC444,Knowledge Rep&Reason in Ai,1,4.0,Lenhart Schubert,"The logical foundations of AI including first-order logic, reasoning, knowledge representation, planning, and probabilistic inference."
CSC446,Machine Learning,2,4.0,Daniel Gildea,"This course presents the mathematical foundations of AI, including probability, decision theory and machine learning. Prerequisites: MATH 164 and MATH 165"
